date,open,high,low,close,volume,average,barCount
2020-08-05,127.22,129.93,127.17,129.89,2151954.3116852054,129.118923,11447
2020-08-06,130.37,130.84,129.33,130.43,1827957.1821552448,130.2526746,10246
2020-08-07,130.42,132.45,129.65,132.38,1633859.5861739027,131.2359282,10062
2020-08-10,132.56,135.11,132.56,134.98,1750455.687118766,134.3754837,9646
2020-08-11,137.23,139.33,136.32,136.6,2998268.149742854,137.906334,15156
2020-08-12,137.96,138.75,136.58,137.34,1655880.875493362,137.6095185,9472
2020-08-13,138.39,140.04,137.75,138.68,2397174.9790694895,138.8795544,12409
2020-08-14,137.63,139.04,137.56,138.88,1213382.370529841,138.5233758,6194
2020-08-17,137.97,139.1,136.83,137.71,1519403.1814376272,137.7959688,7579
2020-08-18,137.48,138.32,136.92,137.44,1056703.7435713431,137.530089,5655
2020-08-19,137.91,138.53,136.94,137.1,1235937.0888649684,137.7374418,7083
2020-08-20,136.3,136.84,135.77,136.26,1373833.2735318742,136.3628934,7814
2020-08-21,134.55,136.03,134.39,135.21,1281719.8899653151,135.2099115,6765
2020-08-24,135.07,137.08,134.74,136.73,1764096.399952159,135.9289575,10027
2020-08-25,137.85,138.17,135.8,136.37,1437024.2793924173,136.6923168,8692
2020-08-26,136.18,137.76,135.19,137.04,1647087.6689391222,136.8963252,8177
2020-08-27,137.54,138.26,136.43,137.19,1831271.3790216483,137.4531678,10077
2020-08-28,137.66,138.93,137.05,138.51,2407647.4105968187,138.0685374,11491
2020-08-31,138.09,138.58,135.52,136.3,1818009.8074393016,136.3202523,9681
2020-09-01,135.59,138.42,135.15,137.79,2426104.5329506043,137.396313,10887
2020-09-02,138.09,142.14,138.07,141.73,3071722.2820236813,140.9539185,15470
2020-09-03,142.14,142.49,137.95,139.05,2728662.8393732808,139.8812022,13680
2020-09-04,140.62,141.39,137.04,138.6,2254609.496471714,139.0634964,12673
2020-09-08,138.44,138.48,135.35,136.43,2097861.4998205956,136.9013418,11776
2020-09-09,137.12,139.91,137.12,138.54,1739095.8019375673,139.0726935,8762
2020-09-10,138.99,139.35,136.08,136.41,1456570.9843320178,137.4280848,8244
2020-09-11,136.8,139.38,136.33,138.93,1227238.3686161942,138.4397658,7036
2020-09-14,140.18,141.66,139.14,140.85,1764084.4396603277,140.7382047,10505
2020-09-15,142.03,142.08,138.93,139.27,1524642.9852888412,139.871169,8416
2020-09-16,140.36,143.06,140.06,141.73,1994230.3552206676,141.819282,11689
2020-09-17,140.46,144.81,139.78,144.13,1969748.8338715467,143.6578659,11279
2020-09-18,143.68,144.46,141.69,141.76,2800211.697165411,143.0374797,11314
2020-09-21,138.78,139.35,133.48,134.91,2576923.8129410357,135.0008865,14652
2020-09-22,134.66,136.84,134.13,135.73,1668906.8293266357,135.53181,9025
2020-09-23,135.88,137.32,133.04,133.37,1329091.0178208349,134.8980462,7771
2020-09-24,133.27,135.41,132.16,134.13,1222520.0334888173,133.9833528,7178
2020-09-25,133.2,134.6,132.82,134.0,1281430.4509030022,133.8571017,8049
2020-09-28,135.76,137.24,134.89,135.16,1459045.5687118766,135.9682542,8920
2020-09-29,135.17,135.41,132.76,133.62,1539910.2978112667,134.0092719,9956
2020-09-30,134.55,136.38,132.61,133.93,1839687.836383208,134.4674547,10393
2020-10-01,134.34,135.36,131.87,132.76,1463774.6681019017,133.2643068,8984
2020-10-02,130.82,135.4,130.64,134.08,1355891.6397560101,133.7500809,7458
2020-10-05,135.66,136.7,135.25,136.08,1066495.6344934816,135.9540405,5988
2020-10-06,136.65,138.54,135.31,135.64,1296038.751345533,137.0008377,7368
2020-10-07,138.04,140.26,137.46,139.2,1567377.1080014354,139.2348969,8359
2020-10-08,139.88,140.59,138.89,140.22,1363334.5293625165,139.8611358,7421
2020-10-09,140.92,142.54,140.42,141.55,1660138.7393852412,141.5341719,8569
2020-10-12,141.69,142.65,140.57,141.01,1054652.553522306,141.4254789,5927
2020-10-13,140.72,141.68,138.79,139.32,1211430.4509030022,139.9472541,6885
2020-10-14,139.64,141.75,139.45,140.8,1040435.3546226529,141.0843501,5371
2020-10-15,138.83,141.87,138.63,141.37,1251984.212414783,140.6704806,7178
2020-10-16,142.09,143.87,141.48,142.95,1680527.4488697525,142.9496892,8719
2020-10-19,143.11,144.1,141.19,141.76,1331130.247578041,142.6369878,8299
2020-10-20,142.45,144.8,142.13,142.93,1354571.2235378544,143.4981708,8222
2020-10-21,142.42,143.9,141.36,141.44,1093345.2936251645,142.270776,6719
2020-10-22,141.71,142.96,140.79,142.73,1339860.064585576,142.0793091,8331
2020-10-23,143.74,143.96,141.32,141.97,1363191.005860543,142.3903383,7585
2020-10-26,140.31,140.54,137.45,138.93,2366501.6146393972,138.8452743,13630
2020-10-27,137.54,137.94,134.32,134.64,3371736.634373879,135.958221,18312
2020-10-28,133.62,136.16,132.2,132.55,2153516.3257983495,133.5569418,12239
2020-10-29,132.2,133.93,130.54,132.51,1640099.2704221983,132.3420885,9898
2020-10-30,132.3,133.74,131.26,133.74,1352801.1003468486,132.488406,8451
2020-11-02,135.61,136.64,134.55,136.23,1286498.026551848,135.8369865,7785
2020-11-03,137.84,139.49,136.89,138.38,1361853.8452338239,138.2783985,8077
2020-11-04,136.08,138.21,133.69,133.91,2359561.057289798,135.6438474,13508
2020-11-05,135.58,137.46,135.46,136.45,1622299.9641191247,136.5710823,9404
2020-11-06,136.84,137.37,135.09,136.3,1239105.3701710321,136.3118913,7049
2020-11-09,145.59,146.68,136.41,136.64,3487018.2992465016,139.8995964,20216
2020-11-10,138.12,141.54,137.0,141.42,2620278.6747996653,140.0860467,15405
2020-11-11,142.75,142.76,140.13,141.48,2051044.1334768569,141.1060887,12171
2020-11-12,140.59,141.46,138.44,139.67,1542809.4725511302,139.6663245,9361
2020-11-13,140.4,142.35,139.86,141.96,1105391.6995574692,141.3811656,6650
2020-11-16,144.33,145.39,142.29,145.36,1677375.9119722522,144.3116961,9011
2020-11-17,144.68,145.9,142.86,145.18,1899160.3875134555,145.0123479,10168
2020-11-18,145.9,146.07,143.25,143.31,1912381.2941035763,144.5625261,9170
2020-11-19,142.61,143.71,141.55,143.48,2362274.847506279,142.7741082,12180
2020-11-20,143.39,144.6,142.94,144.55,1773232.866881952,143.8066917,9587
2020-11-23,145.28,146.2,145.02,145.6,1479527.5684726709,145.5758793,8406
2020-11-24,146.32,148.17,146.23,148.06,2038512.1396962088,147.2472432,11561
2020-11-25,147.86,148.27,146.69,148.09,1483360.842004545,147.6234882,8405
2020-11-27,148.72,150.19,146.79,147.9,908027.7478770482,148.2622686,4806
2020-11-30,147.16,147.16,144.39,144.42,2460139.935414424,145.4680224,14770
2020-12-01,145.67,146.89,142.15,142.57,2534470.757086473,143.7331149,14687
2020-12-02,142.35,144.29,142.32,143.68,1651121.8753737593,143.4045276,9915
2020-12-03,143.01,144.97,143.01,143.67,1626391.579954551,144.0591939,9702
2020-12-04,143.92,144.78,143.42,144.19,1507490.730773831,144.0993267,9005
2020-12-07,143.68,144.12,141.45,142.26,1214324.8415261332,142.4605707,7467
2020-12-08,141.92,144.5,141.89,144.19,1188601.841884942,143.5717476,6603
2020-12-09,144.37,146.85,143.74,146.56,1593440.9759598135,145.4972859,9054
2020-12-10,146.21,146.65,144.39,145.05,1418197.5840210503,145.1628459,8745
2020-12-11,144.06,146.02,143.95,145.5,1220635.0914962327,145.1829123,7212
2020-12-14,146.88,147.32,144.64,144.71,2250333.6921420884,146.1151638,11775
2020-12-15,145.81,146.37,144.27,146.05,1419459.3948092335,145.5892569,8304
2020-12-16,146.0,147.03,145.77,146.66,1250904.1980624327,146.4228486,7559
2020-12-17,147.15,148.37,146.64,147.7,1409257.2658772874,147.6870318,7791
2020-12-18,147.79,148.37,146.41,147.5,2216347.326874776,147.5122869,6956
2020-12-21,145.16,147.26,144.67,146.87,941996.1727066141,146.1277053,5417
2020-12-22,146.48,147.1,145.63,146.13,924677.6701351514,146.4997698,5316
2020-12-23,146.57,147.0,145.44,145.47,886341.3467288603,146.0491119,4944
2020-12-24,145.83,146.15,145.0,145.92,406507.5947853128,145.7054748,2352
2020-12-28,146.58,147.49,145.81,146.08,868148.5468245426,146.5608051,4153
2020-12-29,146.89,146.89,144.77,145.36,837404.6166726468,145.5625017,4584
2020-12-30,145.38,146.25,144.96,145.57,924274.6083004426,145.7104914,5259
2020-12-31,145.5,146.21,144.8,146.14,1141558.426025595,145.606815,6735
2021-01-04,146.32,147.32,142.6,143.7,1840948.451142208,144.3994866,10810
2021-01-05,143.98,144.85,142.68,143.46,1329477.3352469802,143.625258,8151
2021-01-06,144.41,146.79,143.84,145.64,2400350.436550652,145.9086471,14077
2021-01-07,143.44,145.03,138.93,141.9,4571192.441095563,141.1136136,21255
2021-01-08,141.44,141.75,137.63,139.31,3972225.810309772,138.9731976,18234
2021-01-11,138.88,139.75,137.96,138.12,2032218.634134673,138.6120024,12063
2021-01-12,138.71,139.78,137.19,139.22,2379108.958258582,138.993264,13107
2021-01-13,139.85,140.25,138.83,139.03,1496036.3592871667,139.3937559,8753
2021-01-14,139.85,139.93,138.15,139.14,1738355.459873221,139.2750297,9204
2021-01-15,138.48,139.01,136.6,138.42,2759380.4568831483,137.7173754,12847
2021-01-19,139.85,141.76,139.46,141.4,2458400.908982179,140.8887027,13363
2021-01-20,141.08,142.62,140.82,142.32,1927959.574213611,141.8844978,10341
2021-01-21,142.32,143.38,141.63,142.7,1868386.5566319819,142.764075,10906
2021-01-22,142.3,142.3,139.83,141.33,1687231.1924410956,141.5149416,9886
2021-01-25,141.2,144.22,140.65,142.46,2591318.0241597896,142.7331393,14847
2021-01-26,145.3,147.86,143.88,147.11,4355075.9478531275,146.6970894,18689
2021-01-27,148.25,156.58,148.12,156.06,6845688.314794881,153.7704954,35896
2021-01-28,154.68,156.0,152.66,153.36,2960267.910537017,154.3290102,16897
2021-01-29,152.41,152.99,146.21,146.87,2850764.2626480088,148.399389,18106
2021-02-01,147.13,148.08,145.46,146.07,1799345.7720368379,146.3492718,10932
2021-02-02,147.36,148.43,146.19,146.33,2005488.5779213014,147.3191478,9655
2021-02-03,146.64,148.37,145.11,146.72,1760700.8731013038,146.9387223,9874
2021-02-04,146.98,148.23,146.74,148.07,1173525.8940318145,147.7171314,7056
2021-02-05,148.49,149.85,147.74,149.67,1141868.1975840211,149.1192711,6161
2021-02-08,149.91,151.23,149.8,151.13,1269895.9454610692,150.707025,6727
2021-02-09,151.52,152.09,150.65,151.28,1410623.1312044014,151.4988117,7205
2021-02-10,152.07,152.49,151.03,151.4,1229099.3900251167,151.6869342,6967
2021-02-11,149.95,150.4,147.02,148.17,1405697.8830283459,148.3099263,7807
2021-02-12,148.22,149.53,148.16,149.41,682659.9689032413,148.9503789,4050
2021-02-16,149.66,150.24,147.42,147.68,1200533.429015668,148.3099263,6077
2021-02-17,147.2,148.24,146.43,147.7,992901.5667982299,147.4453989,5415
2021-02-18,148.2,150.22,147.28,149.97,1523113.263963641,149.1318126,8476
2021-02-19,150.14,151.14,147.32,147.61,1640973.5677550533,148.733829,9334
2021-02-22,147.54,148.06,146.33,147.25,1583387.1546465734,147.1318614,9127
2021-02-23,148.44,148.44,146.08,147.3,1616245.6643942113,147.2229963,9749
2021-02-24,147.15,148.81,145.28,148.52,1835223.0594426505,147.7330173,11551
2021-02-25,148.42,151.13,148.35,149.46,1894115.5364190887,149.5724373,11461
2021-02-26,150.03,150.04,145.98,146.37,1686971.6541083604,147.5933886,10083
2021-03-01,146.9,148.41,146.9,147.5,1216733.6443009211,147.7405422,7099
2021-03-02,147.99,148.65,146.14,148.08,1502799.9043176654,147.6652932,9056
2021-03-03,148.35,150.51,147.82,148.88,1457180.959215405,149.377626,8671
2021-03-04,149.9,150.65,145.54,148.52,2373979.1890922138,148.4738019,14471
2021-03-05,149.2,151.8,147.95,151.17,1562160.0287047005,149.9486823,9470
2021-03-08,151.33,155.26,151.28,153.65,1941628.9917473986,153.5698314,10612
2021-03-09,153.42,153.97,151.35,151.48,1546134.4336801819,152.6375799,9464
2021-03-10,152.48,155.0,151.68,154.27,1719952.1588326755,154.1751678,10065
2021-03-11,153.11,154.74,152.25,154.32,1659870.828848224,154.1191491,9879
2021-03-12,155.19,155.69,154.07,154.61,1928286.0901806005,154.870803,11563
2021-03-15,155.54,158.55,155.27,158.42,2080590.8384164574,157.1391423,11892
2021-03-16,157.19,157.57,155.5,156.23,1476236.0961607464,156.2888286,8759
2021-03-17,156.63,158.85,156.39,157.44,1851395.766056692,157.4317773,11544
2021-03-18,157.69,160.61,157.69,159.7,2267550.5322329868,159.61149,13674
2021-03-19,159.36,159.7,157.76,157.78,2798234.660925727,158.9484627,11874
2021-03-22,157.4,158.66,156.36,158.42,1330056.2133716063,157.8046779,7634
2021-03-23,157.83,160.29,157.1,157.46,1922615.7158234662,158.6708775,10971
2021-03-24,157.55,161.15,157.25,159.44,1844201.6505202728,160.0780338,10284
2021-03-25,160.23,161.67,159.0,161.45,1592895.5866523143,160.4776896,9353
2021-03-26,161.38,163.0,160.71,162.94,1663196.9860064588,161.8923708,9703
2021-03-29,161.89,164.48,161.79,163.66,1488703.5043655066,163.4868135,8211
2021-03-30,163.02,164.4,162.1,162.74,1089227.3651477096,162.9776286,6338
2021-03-31,162.15,162.56,160.57,161.1,1285536.4190886258,161.3982357,7881
2021-04-01,161.58,162.14,159.56,161.12,1228075.5890443728,160.8121296,7105
2021-04-05,162.11,163.83,161.96,163.01,1124584.3798588687,162.8655912,6469
2021-04-06,163.04,163.55,162.2,162.91,888089.94139457,162.8965269,4908
2021-04-07,162.34,163.33,162.14,163.0,931312.044013874,162.8421804,5429
2021-04-08,162.55,164.44,162.23,163.64,1235856.9549097,163.6030314,6654
2021-04-09,163.93,166.35,163.93,165.55,1408705.8964238728,165.2752314,8408
2021-04-12,165.72,166.63,164.76,165.41,1176813.7782561895,165.5912772,6359
2021-04-13,163.88,164.99,163.35,164.27,1113279.5120200934,164.1749238,6597
2021-04-14,163.5,165.04,163.05,164.5,952386.0782203086,164.3053554,5966
2021-04-15,164.95,165.39,163.8,165.11,832061.9543116853,164.8070154,4970
2021-04-16,166.15,166.94,165.53,166.03,1423456.524339194,166.2392547,7294
2021-04-19,165.64,166.12,164.44,166.04,1197198.8996531516,165.5870967,6848
2021-04-20,166.33,166.68,165.08,165.8,1110670.9723717258,165.7175283,6619
2021-04-21,165.8,168.47,165.65,167.96,1700453.2950603995,167.3571204,8481
2021-04-22,167.78,169.03,167.37,167.97,1462390.8623370412,168.1405461,7764
2021-04-23,168.06,169.86,168.05,169.06,1120977.1558426027,169.0460424,6748
2021-04-26,169.71,169.72,166.87,166.91,1421447.1953115657,168.0494112,8034
2021-04-27,160.53,163.76,157.71,162.58,4018594.6657098434,161.9341758,22983
2021-04-28,163.04,164.97,162.88,163.82,1710526.2528405695,164.0143926,10092
2021-04-29,164.55,166.73,164.1,166.43,1266707.3316588926,165.7919412,7448
2021-04-30,165.26,166.38,163.98,164.83,1203515.1297691665,164.7267498,6968
2021-05-03,165.54,166.78,164.43,166.06,1217151.0584858272,165.8136798,6878
2021-05-04,165.96,166.85,165.16,166.7,1140485.5878483437,166.3721946,7153
2021-05-05,167.22,168.66,165.45,168.42,1409551.489056333,167.3128071,8274
2021-05-06,168.29,169.32,167.6,169.24,1136370.051429255,168.47415,6636
2021-05-07,169.15,170.46,168.26,169.79,1257774.1896902286,169.5594078,7428
2021-05-10,171.4,174.7,170.61,173.35,2073942.1121875376,173.3854014,11586
2021-05-11,172.74,173.0,169.23,170.33,1279710.560937687,170.6505183,7784
2021-05-12,170.22,170.31,166.23,166.28,1435572.2999641192,167.5837035,8165
2021-05-13,166.08,170.6,165.87,170.07,963320.1770123192,169.3403496,5530
2021-05-14,170.56,171.51,169.74,170.88,924170.5537615118,170.8394769,5532
2021-05-17,171.07,171.69,170.31,171.49,1035213.4912091856,171.1212426,6424
2021-05-18,171.39,171.55,169.56,169.75,1183279.5120200934,170.2508625,6881
2021-05-19,168.82,169.48,166.66,169.39,1365432.364549695,168.3646209,8957
2021-05-20,168.13,169.05,167.64,168.6,863883.506757565,168.3278325,5216
2021-05-21,168.65,170.36,168.11,168.78,879775.146513575,169.0217955,5015
2021-05-24,169.56,170.16,168.83,169.4,888576.7252720967,169.4490426,5361
2021-05-25,169.6,169.73,168.37,168.65,852072.7185743332,168.9440382,5300
2021-05-26,168.05,168.72,167.47,168.54,967883.0283458917,168.1271685,5681
2021-05-27,169.73,170.55,169.41,169.93,1180037.0769046766,169.9866549,6408
2021-05-28,170.46,170.9,169.56,169.76,1038794.4025834231,170.1062172,6760
2021-06-01,171.38,171.48,169.35,169.9,933391.9387633059,170.2567152,5748
2021-06-02,170.34,170.54,169.19,169.97,1041492.6444205239,169.9097337,6861
2021-06-03,169.31,171.12,168.73,170.29,884219.5909580194,169.9966881,5602
2021-06-04,170.66,172.32,170.37,172.28,879757.2060758283,171.6839379,5285
2021-06-07,172.53,172.91,169.99,170.34,950260.7343619185,171.0284355,5988
2021-06-08,169.04,170.6,168.17,170.22,988005.0233225691,169.6129182,5840
2021-06-09,170.2,170.2,168.84,169.51,714065.3031933979,169.6965282,4420
2021-06-10,170.69,171.38,169.54,169.84,1069165.171630188,170.2291239,6945
2021-06-11,170.36,171.32,168.49,169.57,896631.9818203565,169.5786381,5698
2021-06-14,169.13,170.22,167.57,168.36,1087363.9516804211,168.2927163,6408
2021-06-15,168.72,168.78,166.83,167.73,1024024.6382011721,167.55444,5995
2021-06-16,167.7,168.05,164.55,164.64,1323246.0232029662,165.9449475,8132
2021-06-17,164.54,165.13,161.37,163.16,1511612.2473388352,162.8070642,8905
2021-06-18,161.4,161.84,160.14,160.2,2523138.3805764862,161.0696484,10339
2021-06-21,161.86,164.4,161.86,163.22,1391008.2526013635,163.3756122,8482
2021-06-22,162.83,163.92,162.29,163.16,1060663.7961966272,163.1874897,6291
2021-06-23,162.87,163.4,160.77,160.83,2032979.3086951324,161.6281632,11520
2021-06-24,161.62,161.99,160.22,161.58,1465542.3992345415,161.2377045,8766
2021-06-25,161.72,163.32,161.62,162.83,1274012.677909341,162.6724521,6976
2021-06-28,163.67,164.64,162.53,164.29,1352969.7404616673,164.0018511,7735
2021-06-29,164.04,165.41,163.63,163.9,1072064.3463700514,164.3747517,6257
2021-06-30,163.79,166.37,163.49,166.07,1451553.6419088626,165.4650261,9274
2021-07-01,166.76,166.94,165.34,166.46,1030111.2307140295,166.1773833,5856
2021-07-02,166.16,167.47,165.5,167.13,964165.7696447794,166.7450952,5786
2021-07-06,164.22,165.36,162.84,164.62,1550139.9354144242,164.1506769,7730
2021-07-07,163.98,167.27,163.98,167.1,1041224.7338835069,166.2626655,5707
2021-07-08,165.97,166.84,164.98,165.77,1319050.352828609,165.7610055,7907
2021-07-09,166.97,168.81,166.59,168.06,1057641.430450903,168.0218199,5993
2021-07-12,165.63,168.44,165.46,167.2,1255383.3273531874,166.977531,6744
2021-07-13,167.3,168.16,166.51,166.89,906405.9323047483,167.1062904,5258
2021-07-14,167.7,169.88,167.23,169.59,1222865.6859227365,169.0535673,7058
2021-07-15,168.42,169.54,167.66,169.39,1334702.7867479967,168.6555837,8018
2021-07-16,169.83,169.9,166.31,166.69,1159472.5511302475,167.4975852,5909
2021-07-19,165.09,166.0,163.13,165.18,1549375.6727664156,164.2317786,9320
2021-07-20,165.83,169.08,165.61,167.91,1506225.3318980983,168.0360336,8790
2021-07-21,168.16,169.63,167.19,167.86,954782.9207032652,167.8044339,5810
2021-07-22,168.48,168.6,166.11,166.44,1032277.2395646455,166.6966014,6023
2021-07-23,167.65,168.09,166.33,167.63,963535.4622652794,167.2852158,5642
2021-07-26,167.6,169.51,167.16,168.62,1423841.645736156,168.5870235,8177
2021-07-27,164.89,168.11,162.96,167.61,2078741.7772993662,166.2242049,13107
2021-07-28,166.65,167.53,165.63,165.78,1089455.806721684,166.2559767,6643
2021-07-29,167.22,167.22,165.5,165.69,1438619.7823226887,165.9884247,7712
2021-07-30,165.55,166.58,164.88,165.5,1060188.9726109318,165.572883,6428
2021-08-02,166.44,167.81,165.07,165.15,714379.8588685564,165.9691944,4265
2021-08-03,166.0,169.07,165.05,168.08,1450331.3000837222,167.6823633,7985
2021-08-04,167.55,167.9,164.88,165.15,1165920.344456405,165.7977939,6912
2021-08-05,165.73,166.48,164.95,165.38,886733.644300921,165.4524846,5043
2021-08-06,165.7,166.59,165.17,165.66,677212.0559741658,165.6631818,4233
2021-08-09,165.26,165.67,164.53,165.07,755908.3841645736,165.0511566,4446
2021-08-10,165.75,166.79,165.3,166.59,881154.1681617032,166.3579809,5710
2021-08-11,167.22,168.7,166.64,168.53,1041517.7610333692,168.1405461,5961
2021-08-12,168.46,169.21,167.52,168.42,700431.7665351034,168.1974009,4015
2021-08-13,168.25,168.66,167.46,167.7,1032423.1551249851,168.1020855,5948
2021-08-16,168.13,169.54,167.54,169.16,1037253.9169955747,168.9716295,5913
2021-08-17,168.89,168.89,165.21,166.84,1463080.9711756967,166.3479477,8869
2021-08-18,166.02,166.23,164.13,164.3,1481120.679344576,164.9817603,9043
2021-08-19,163.04,164.07,162.45,163.34,1519979.667503887,163.3338072,9168
2021-08-20,162.49,163.15,161.67,162.34,1413395.5268508552,162.3112569,7783
2021-08-23,163.04,164.08,161.94,162.77,1040540.6051907667,163.1415042,5943
2021-08-24,162.89,163.96,162.49,162.83,935353.4266236096,163.0102365,5692
2021-08-25,162.64,163.08,161.13,162.49,996726.4681258224,162.4258026,5750
2021-08-26,162.36,163.35,161.92,163.31,843171.8693936133,162.7828173,5252
2021-08-27,163.88,164.43,162.3,163.08,1168201.1721085995,163.0762884,6672
2021-08-30,163.19,164.95,162.85,164.02,791075.2302356178,164.2384674,4642
2021-08-31,163.75,163.87,162.33,162.82,1534915.6799425907,162.863919,9156
2021-09-01,162.66,162.83,161.32,161.74,1259312.2832197107,161.735184,7230
2021-09-02,162.26,162.97,161.76,162.95,977621.0979547901,162.2727963,5694
2021-09-03,162.59,163.55,161.89,162.53,908753.7375911972,162.6791409,4702
2021-09-07,161.3,162.68,155.15,155.16,4418655.663198182,156.9317895,22032
2021-09-08,155.21,157.52,154.7,157.09,2524372.6826934577,156.6859761,13996
2021-09-09,156.8,157.61,154.73,155.31,2003363.2340629112,155.857401,10475
2021-09-10,156.23,156.54,154.26,154.3,1437749.0730773832,155.2453758,8740
2021-09-13,154.93,157.12,153.51,154.87,3460940.0789379263,155.2754754,17729
2021-09-14,155.22,155.51,151.9,152.52,2273693.33811745,152.9594784,13338
2021-09-15,152.86,154.77,152.45,154.0,1674814.017462026,153.7863813,9992
2021-09-16,153.97,154.34,152.02,152.72,1642753.2591795241,152.8859016,9336
2021-09-17,151.41,152.72,150.0,151.74,5634973.08934338,151.6585068,26413
2021-09-20,149.12,151.95,149.07,150.94,2586559.024040187,150.5924793,14998
2021-09-21,151.31,151.4,148.57,149.18,2038832.6755172827,149.5297962,10786
2021-09-22,149.92,151.29,149.61,150.36,1453450.5441932783,150.4904751,8925
2021-09-23,150.56,152.88,150.5,151.78,1539596.9381652912,152.1309033,9054
2021-09-24,151.75,152.23,151.01,151.37,1432420.763066619,151.4394486,8105
2021-09-27,151.19,153.14,151.18,151.99,1419977.2754455209,152.3942748,8110
2021-09-28,152.02,152.89,150.31,150.54,1470032.2927879442,151.08327,8809
2021-09-29,150.43,151.67,149.8,151.23,1201072.8381772516,150.9637077,6693
2021-09-30,151.94,152.22,146.63,146.67,2044049.7548140176,148.4846712,12219
2021-10-01,147.36,148.33,145.67,147.72,1580119.6029183113,147.3408864,8855
2021-10-04,145.61,148.07,145.3,147.19,2060269.1065662003,146.9537721,11747
2021-10-05,147.3,149.34,146.79,148.73,1187391.4603516327,148.683663,6532
2021-10-06,147.68,149.29,146.75,149.16,1343673.0056213373,147.9019095,7889
2021-10-07,150.5,151.15,148.57,148.66,1896460.9496471714,149.544846,10835
2021-10-08,148.47,148.91,147.8,147.95,1913595.263724435,148.2530715,10889
2021-10-11,148.84,149.33,147.32,147.39,1706710.919746442,148.2171192,9616
2021-10-12,147.4,147.9,146.43,146.76,1475989.7141490253,147.2355378,8720
2021-10-13,146.83,149.16,146.35,148.13,1347342.423155125,147.9545838,8489
2021-10-14,148.83,150.83,148.78,150.77,1598679.5837818445,149.9470101,9926
2021-10-15,151.07,153.01,151.07,152.12,1350326.5159669896,152.1183618,7844
2021-10-18,151.16,152.1,149.95,151.94,1133867.9583781846,151.5648636,6579
2021-10-19,152.54,152.88,151.87,152.43,921789.2596579357,152.5038039,5354
2021-10-20,152.66,153.16,152.2,152.52,951047.7215644062,152.6818932,5997
2021-10-21,152.3,153.03,150.93,152.27,1008662.8393732808,151.6952952,5904
2021-10-22,152.65,153.25,151.15,151.17,1761711.5177610335,151.8399405,10222
2021-10-25,150.92,152.96,150.04,152.5,1821594.3069010885,152.0339157,10730
2021-10-26,151.39,153.69,149.8,152.3,2097229.9964119126,152.3967831,11835
2021-10-27,152.4,152.45,148.89,149.03,1886270.7810070566,149.9419935,11350
2021-10-28,149.03,150.51,149.03,150.39,1362821.4328429615,149.9938317,8596
2021-10-29,150.26,151.26,148.92,149.39,1172839.3732807082,149.9135661,6898
2021-11-01,149.27,150.28,148.42,150.15,1083432.6037555316,149.5925037,5862
2021-11-02,150.49,152.25,150.17,152.15,1438493.0032292788,151.5698802,8253
2021-11-03,151.99,152.69,150.48,152.36,1294168.1617031456,151.4703843,7701
2021-11-04,152.56,152.97,150.7,151.01,1376414.3045090302,151.760511,8323
2021-11-05,152.27,153.69,151.29,152.0,1296519.555077144,152.1258867,7497
2021-11-08,152.72,153.37,150.72,151.79,1109216.6008850615,151.5983076,6325
2021-11-09,151.64,152.65,150.87,151.61,1121545.2697045808,151.7145255,6404
2021-11-10,151.61,152.87,150.5,152.52,1131956.7037435714,152.4954429,6743
2021-11-11,153.01,153.04,150.09,150.67,1395782.801100347,150.9377886,8309
2021-11-12,151.29,155.77,150.73,153.56,3298338.7154646576,153.5522733,16088
2021-11-15,153.92,154.71,152.92,153.27,893143.1646932185,153.5564538,5186
2021-11-16,153.27,154.01,152.76,153.32,999348.164095204,153.4343832,5827
2021-11-17,153.32,153.73,151.86,153.29,1465199.1388589882,153.0012834,8586
2021-11-18,152.26,152.62,149.4,149.47,1588295.6584140654,150.3767655,9165
2021-11-19,150.03,151.18,148.93,149.85,1482162.4207630667,150.3617157,7746
2021-11-22,149.87,152.4,149.48,150.21,1325534.0270302596,151.033104,7484
2021-11-23,151.01,151.6,149.37,150.05,1230985.5280468843,150.339141,7132
2021-11-24,149.64,150.08,148.44,148.52,984467.1689989236,149.0490387,5419
2021-11-26,145.92,147.85,144.97,146.75,1289435.4742255711,146.8400625,7786
2021-11-29,147.55,147.85,146.3,147.35,1487796.9142447077,147.2020938,9191
2021-11-30,146.07,147.04,142.09,142.17,2109217.796914245,143.7414759,11337
2021-12-01,144.27,146.02,142.72,142.75,2035301.997368736,144.5934618,11510
2021-12-02,143.42,144.46,142.03,142.35,2136501.6146393972,143.123598,12107
2021-12-03,142.05,144.57,141.45,144.3,1843760.3157517044,143.5031874,10444
2021-12-06,145.92,149.06,145.48,148.16,1835571.1039349362,148.2146109,10344
2021-12-07,148.08,149.11,147.3,147.61,1482140.8922377706,148.2263163,8428
2021-12-08,147.57,147.85,145.84,147.19,1230843.200574094,146.9094588,6531
2021-12-09,147.56,148.32,146.85,147.1,1006981.2223418251,147.4646292,5987
2021-12-10,148.78,148.78,147.25,148.07,1012756.8472670733,147.8333493,5452
2021-12-13,147.99,148.3,145.82,145.97,1538618.5862935057,146.3785353,8565
2021-12-14,146.19,147.66,145.69,146.08,1465939.4809233346,146.585052,8055
